Scaling Coefficient,Influenced by Chatsafe,Chatsafe SC reduction,Fraction of deaths reduced from Baseline,Effects
0,20,0,0.018,AxB
0,20,20,0.048,AxB
0,20,40,0.045,AxB
0,20,80,0.064,AxB
0,20,100,0.09,AxB
0,40,0,0.053,AxB
0,40,20,0.074,AxB
0,40,40,0.11,AxB
0,40,80,0.195,AxB
0,40,100,0.261,AxB
0,50,0,0.081,AxB
0,50,20,0.1,AxB
0,50,40,0.173,AxB
0,50,80,0.244,AxB
0,50,100,0.372,AxB
0,60,0,0.108,AxB
0,60,20,0.134,AxB
0,60,40,0.219,AxB
0,60,80,0.359,AxB
0,60,100,0.542,AxB
0,100,0,0.194,AxB
0,100,20,0.301,AxB
0,100,40,0.42,AxB
0,100,80,0.998,AxB
0,100,100,0.998,AxB
20,20,0,0.007,AxB
20,20,20,0.029,AxB
20,20,40,0.049,AxB
20,20,80,0.076,AxB
20,20,100,0.097,AxB
20,40,0,0.072,AxB
20,40,20,0.094,AxB
20,40,40,0.135,AxB
20,40,80,0.193,AxB
20,40,100,0.264,AxB
20,50,0,0.099,AxB
20,50,20,0.118,AxB
20,50,40,0.144,AxB
20,50,80,0.276,AxB
20,50,100,0.371,AxB
20,60,0,0.113,AxB
20,60,20,0.139,AxB
20,60,40,0.189,AxB
20,60,80,0.385,AxB
20,60,100,0.566,AxB
20,100,0,0.222,AxB
20,100,20,0.295,AxB
20,100,40,0.5,AxB
20,100,80,0.999,AxB
20,100,100,0.998,AxB
40,20,0,0.046,AxB
40,20,20,0.042,AxB
40,20,40,0.053,AxB
40,20,80,0.081,AxB
40,20,100,0.088,AxB
40,40,0,0.064,AxB
40,40,20,0.096,AxB
40,40,40,0.116,AxB
40,40,80,0.198,AxB
40,40,100,0.268,AxB
40,50,0,0.089,AxB
40,50,20,0.101,AxB
40,50,40,0.158,AxB
40,50,80,0.288,AxB
40,50,100,0.412,AxB
40,60,0,0.134,AxB
40,60,20,0.161,AxB
40,60,40,0.203,AxB
40,60,80,0.43,AxB
40,60,100,0.569,AxB
40,100,0,0.25,AxB
40,100,20,0.325,AxB
40,100,40,0.477,AxB
40,100,80,0.999,AxB
40,100,100,0.998,AxB
100,20,0,0.158,AxB
100,20,20,0.186,AxB
100,20,40,0.199,AxB
100,20,80,0.241,AxB
100,20,100,0.271,AxB
100,40,0,0.351,AxB
100,40,20,0.369,AxB
100,40,40,0.415,AxB
100,40,80,0.499,AxB
100,40,100,0.563,AxB
100,50,0,0.458,AxB
100,50,20,0.468,AxB
100,50,40,0.489,AxB
100,50,80,0.629,AxB
100,50,100,0.702,AxB
100,60,0,0.556,AxB
100,60,20,0.603,AxB
100,60,40,0.809,AxB
100,60,80,0.914,AxB
100,60,100,0.603,AxB
100,100,0,0.998,AxB
100,100,20,0.998,AxB
100,100,40,0.997,AxB
100,100,80,0.998,AxB
100,100,100,0.997,AxB
60,20,0,0.04,AxB
60,20,20,0.039,AxB
60,20,40,0.056,AxB
60,20,80,0.093,AxB
60,20,100,0.091,AxB
60,40,0,0.093,AxB
60,40,20,0.1,AxB
60,40,40,0.126,AxB
60,40,80,0.223,AxB
60,40,100,0.295,AxB
60,50,0,0.11,AxB
60,50,20,0.132,AxB
60,50,40,0.172,AxB
60,50,80,0.327,AxB
60,50,100,0.422,AxB
60,60,0,0.135,AxB
60,60,20,0.18,AxB
60,60,40,0.268,AxB
60,60,80,0.405,AxB
60,60,100,0.659,AxB
60,100,0,0.236,AxB
60,100,20,0.534,AxB
60,100,40,0.525,AxB
60,100,80,0.998,AxB
60,100,100,0.999,AxB
0,30,0,0.038,AxB
0,30,20,0.053,AxB
0,30,40,0.076,AxB
0,30,80,0.132,AxB
0,30,100,0.17,AxB
20,30,0,0.062,AxB
20,30,20,0.061,AxB
20,30,40,0.077,AxB
20,30,80,0.126,AxB
20,30,100,0.163,AxB
40,30,0,0.041,AxB
40,30,20,0.066,AxB
40,30,40,0.07,AxB
40,30,80,0.126,AxB
40,30,100,0.171,AxB
60,30,0,0.063,AxB
60,30,20,0.064,AxB
60,30,40,0.077,AxB
60,30,80,0.143,AxB
60,30,100,0.188,AxB
100,30,0,0.253,AxB
100,30,20,0.279,AxB
100,30,40,0.279,AxB
100,30,80,0.365,AxB
100,30,100,0.428,AxB
