Scaling Coefficient,Influenced by Chatsafe,Chatsafe SC reduction,Fraction of deaths reduced from Baseline,Effects
0,20,0,0.298,AxBxC
0,20,20,0.293,AxBxC
0,20,40,0.308,AxBxC
0,20,80,0.34,AxBxC
0,20,100,0.36,AxBxC
0,40,0,0.741,AxBxC
0,40,20,0.771,AxBxC
0,40,40,0.81,AxBxC
0,40,80,0.87,AxBxC
0,40,100,0.937,AxBxC
0,50,0,0.905,AxBxC
0,50,20,0.914,AxBxC
0,50,40,0.928,AxBxC
0,50,80,0.986,AxBxC
0,50,100,0.983,AxBxC
0,60,0,0.966,AxBxC
0,60,20,0.978,AxBxC
0,60,40,0.975,AxBxC
0,60,80,0.995,AxBxC
0,60,100,0.995,AxBxC
0,100,0,0.996,AxBxC
0,100,20,0.996,AxBxC
0,100,40,0.995,AxBxC
0,100,80,0.997,AxBxC
0,100,100,0.998,AxBxC
20,20,0,0.31,AxBxC
20,20,20,0.307,AxBxC
20,20,40,0.328,AxBxC
20,20,80,0.345,AxBxC
20,20,100,0.367,AxBxC
20,40,0,0.765,AxBxC
20,40,20,0.788,AxBxC
20,40,40,0.837,AxBxC
20,40,80,0.883,AxBxC
20,40,100,0.932,AxBxC
20,50,0,0.912,AxBxC
20,50,20,0.913,AxBxC
20,50,40,0.953,AxBxC
20,50,80,0.981,AxBxC
20,50,100,0.987,AxBxC
20,60,0,0.982,AxBxC
20,60,20,0.975,AxBxC
20,60,40,0.982,AxBxC
20,60,80,0.992,AxBxC
20,60,100,0.997,AxBxC
20,100,0,0.989,AxBxC
20,100,20,0.993,AxBxC
20,100,40,0.996,AxBxC
20,100,80,0.998,AxBxC
20,100,100,0.997,AxBxC
40,20,0,0.304,AxBxC
40,20,20,0.324,AxBxC
40,20,40,0.319,AxBxC
40,20,80,0.352,AxBxC
40,20,100,0.391,AxBxC
40,40,0,0.792,AxBxC
40,40,20,0.804,AxBxC
40,40,40,0.829,AxBxC
40,40,80,0.926,AxBxC
40,40,100,0.945,AxBxC
40,50,0,0.895,AxBxC
40,50,20,0.924,AxBxC
40,50,40,0.962,AxBxC
40,50,80,0.988,AxBxC
40,50,100,0.993,AxBxC
40,60,0,0.968,AxBxC
40,60,20,0.978,AxBxC
40,60,40,0.974,AxBxC
40,60,80,0.993,AxBxC
40,60,100,0.999,AxBxC
40,100,0,0.989,AxBxC
40,100,20,0.995,AxBxC
40,100,40,0.993,AxBxC
40,100,80,0.997,AxBxC
40,100,100,0.997,AxBxC
100,20,0,0.427,AxBxC
100,20,20,0.436,AxBxC
100,20,40,0.456,AxBxC
100,20,80,0.475,AxBxC
100,20,100,0.507,AxBxC
100,40,0,0.855,AxBxC
100,40,20,0.871,AxBxC
100,40,40,0.891,AxBxC
100,40,80,0.927,AxBxC
100,40,100,0.967,AxBxC
100,50,0,0.975,AxBxC
100,50,20,0.989,AxBxC
100,50,40,0.975,AxBxC
100,50,80,0.994,AxBxC
100,50,100,0.99,AxBxC
100,60,0,0.977,AxBxC
100,60,20,0.978,AxBxC
100,60,40,0.985,AxBxC
100,60,80,0.998,AxBxC
100,60,100,0.996,AxBxC
100,100,0,0.998,AxBxC
100,100,20,0.999,AxBxC
100,100,40,0.998,AxBxC
100,100,80,0.997,AxBxC
100,100,100,0.998,AxBxC
60,20,0,0.333,AxBxC
60,20,20,0.336,AxBxC
60,20,40,0.351,AxBxC
60,20,80,0.4,AxBxC
60,20,100,0.414,AxBxC
60,40,0,0.822,AxBxC
60,40,20,0.819,AxBxC
60,40,40,0.841,AxBxC
60,40,80,0.9,AxBxC
60,40,100,0.942,AxBxC
60,50,0,0.93,AxBxC
60,50,20,0.969,AxBxC
60,50,40,0.965,AxBxC
60,50,80,0.987,AxBxC
60,50,100,0.991,AxBxC
60,60,0,0.979,AxBxC
60,60,20,0.982,AxBxC
60,60,40,0.986,AxBxC
60,60,80,0.99,AxBxC
60,60,100,0.997,AxBxC
60,100,0,0.993,AxBxC
60,100,20,0.996,AxBxC
60,100,40,0.997,AxBxC
60,100,80,0.997,AxBxC
60,100,100,0.999,AxBxC
0,30,0,0.502,AxBxC
0,30,20,0.505,AxBxC
0,30,40,0.536,AxBxC
0,30,80,0.574,AxBxC
0,30,100,0.631,AxBxC
20,30,0,0.509,AxBxC
20,30,20,0.526,AxBxC
20,30,40,0.541,AxBxC
20,30,80,0.603,AxBxC
20,30,100,0.653,AxBxC
40,30,0,0.524,AxBxC
40,30,20,0.552,AxBxC
40,30,40,0.567,AxBxC
40,30,80,0.618,AxBxC
40,30,100,0.679,AxBxC
60,30,0,0.555,AxBxC
60,30,20,0.556,AxBxC
60,30,40,0.588,AxBxC
60,30,80,0.638,AxBxC
60,30,100,0.709,AxBxC
100,30,0,0.627,AxBxC
100,30,20,0.656,AxBxC
100,30,40,0.671,AxBxC
100,30,80,0.709,AxBxC
100,30,100,0.742,AxBxC
