Scaling Coefficient,Influenced by Chatsafe,Chatsafe SC reduction,Fraction of deaths reduced from Baseline,Effects
0,20,0,0.126,AxBxD
0,20,20,0.136,AxBxD
0,20,40,0.144,AxBxD
0,20,80,0.156,AxBxD
0,20,100,0.214,AxBxD
0,40,0,0.623,AxBxD
0,40,20,0.678,AxBxD
0,40,40,0.659,AxBxD
0,40,80,0.76,AxBxD
0,40,100,0.85,AxBxD
0,50,0,0.879,AxBxD
0,50,20,0.883,AxBxD
0,50,40,0.934,AxBxD
0,50,80,0.995,AxBxD
0,50,100,0.998,AxBxD
0,60,0,0.997,AxBxD
0,60,20,0.993,AxBxD
0,60,40,0.998,AxBxD
0,60,80,0.997,AxBxD
0,60,100,0.998,AxBxD
0,100,0,0.999,AxBxD
0,100,20,1,AxBxD
0,100,40,0.999,AxBxD
0,100,80,0.999,AxBxD
0,100,100,0.999,AxBxD
20,20,0,0.137,AxBxD
20,20,20,0.13,AxBxD
20,20,40,0.136,AxBxD
20,20,80,0.2,AxBxD
20,20,100,0.222,AxBxD
20,40,0,0.646,AxBxD
20,40,20,0.679,AxBxD
20,40,40,0.719,AxBxD
20,40,80,0.796,AxBxD
20,40,100,0.884,AxBxD
20,50,0,0.883,AxBxD
20,50,20,0.893,AxBxD
20,50,40,0.933,AxBxD
20,50,80,0.996,AxBxD
20,50,100,0.998,AxBxD
20,60,0,0.997,AxBxD
20,60,20,0.999,AxBxD
20,60,40,1,AxBxD
20,60,80,0.999,AxBxD
20,60,100,0.999,AxBxD
20,100,0,0.999,AxBxD
20,100,20,0.999,AxBxD
20,100,40,0.999,AxBxD
20,100,80,0.999,AxBxD
20,100,100,0.999,AxBxD
40,20,0,0.148,AxBxD
40,20,20,0.171,AxBxD
40,20,40,0.167,AxBxD
40,20,80,0.198,AxBxD
40,20,100,0.237,AxBxD
40,40,0,0.69,AxBxD
40,40,20,0.761,AxBxD
40,40,40,0.748,AxBxD
40,40,80,0.828,AxBxD
40,40,100,0.926,AxBxD
40,50,0,0.936,AxBxD
40,50,20,0.924,AxBxD
40,50,40,0.951,AxBxD
40,50,80,0.988,AxBxD
40,50,100,0.996,AxBxD
40,60,0,0.999,AxBxD
40,60,20,1,AxBxD
40,60,40,0.999,AxBxD
40,60,80,0.998,AxBxD
40,60,100,0.998,AxBxD
40,100,0,0.999,AxBxD
40,100,20,0.999,AxBxD
40,100,40,0.998,AxBxD
40,100,80,1,AxBxD
40,100,100,1,AxBxD
100,20,0,0.314,AxBxD
100,20,20,0.305,AxBxD
100,20,40,0.315,AxBxD
100,20,80,0.365,AxBxD
100,20,100,0.421,AxBxD
100,40,0,0.813,AxBxD
100,40,20,0.844,AxBxD
100,40,40,0.848,AxBxD
100,40,80,0.915,AxBxD
100,40,100,0.971,AxBxD
100,50,0,0.964,AxBxD
100,50,20,0.972,AxBxD
100,50,40,0.993,AxBxD
100,50,80,0.998,AxBxD
100,50,100,0.998,AxBxD
100,60,0,0.997,AxBxD
100,60,20,0.999,AxBxD
100,60,40,0.999,AxBxD
100,60,80,0.999,AxBxD
100,60,100,0.998,AxBxD
100,100,0,0.999,AxBxD
100,100,20,0.999,AxBxD
100,100,40,0.999,AxBxD
100,100,80,0.999,AxBxD
100,100,100,0.999,AxBxD
60,20,0,0.179,AxBxD
60,20,20,0.183,AxBxD
60,20,40,0.206,AxBxD
60,20,80,0.233,AxBxD
60,20,100,0.268,AxBxD
60,40,0,0.743,AxBxD
60,40,20,0.782,AxBxD
60,40,40,0.821,AxBxD
60,40,80,0.874,AxBxD
60,40,100,0.918,AxBxD
60,50,0,0.996,AxBxD
60,50,20,0.953,AxBxD
60,50,40,0.948,AxBxD
60,50,80,0.997,AxBxD
60,50,100,0.998,AxBxD
60,60,0,0.995,AxBxD
60,60,20,0.999,AxBxD
60,60,40,0.998,AxBxD
60,60,80,0.999,AxBxD
60,60,100,0.998,AxBxD
60,100,0,0.999,AxBxD
60,100,20,0.999,AxBxD
60,100,40,0.999,AxBxD
60,100,80,0.999,AxBxD
60,100,100,1,AxBxD
0,30,0,0.215,AxBxD
0,30,20,0.247,AxBxD
0,30,40,0.283,AxBxD
0,30,80,0.338,AxBxD
0,30,100,0.402,AxBxD
20,30,0,0.246,AxBxD
20,30,20,0.262,AxBxD
20,30,40,0.302,AxBxD
20,30,80,0.358,AxBxD
20,30,100,0.438,AxBxD
40,30,0,0.274,AxBxD
40,30,20,0.297,AxBxD
40,30,40,0.329,AxBxD
40,30,80,0.405,AxBxD
40,30,100,0.485,AxBxD
60,30,0,0.347,AxBxD
60,30,20,0.37,AxBxD
60,30,40,0.405,AxBxD
60,30,80,0.472,AxBxD
60,30,100,0.531,AxBxD
100,30,0,0.504,AxBxD
100,30,20,0.513,AxBxD
100,30,40,0.537,AxBxD
100,30,80,0.583,AxBxD
100,30,100,0.662,AxBxD
