Scaling Coefficient,Influenced by Chatsafe,Chatsafe SC reduction,Fraction of deaths reduced from Baseline,Effects
0,20,0,0.139,AxBxE
0,20,20,0.132,AxBxE
0,20,40,0.165,AxBxE
0,20,80,0.193,AxBxE
0,20,100,0.229,AxBxE
0,40,0,0.512,AxBxE
0,40,20,0.328,AxBxE
0,40,40,0.421,AxBxE
0,40,80,0.625,AxBxE
0,40,100,0.559,AxBxE
0,50,0,0.481,AxBxE
0,50,20,0.657,AxBxE
0,50,40,0.491,AxBxE
0,50,80,0.568,AxBxE
0,50,100,0.69,AxBxE
0,60,0,0.592,AxBxE
0,60,20,0.636,AxBxE
0,60,40,0.748,AxBxE
0,60,80,0.879,AxBxE
0,60,100,0.855,AxBxE
0,100,0,0.867,AxBxE
0,100,20,0.809,AxBxE
0,100,40,0.835,AxBxE
0,100,80,0.999,AxBxE
0,100,100,0.999,AxBxE
20,20,0,0.142,AxBxE
20,20,20,0.163,AxBxE
20,20,40,0.164,AxBxE
20,20,80,0.203,AxBxE
20,20,100,0.24,AxBxE
20,40,0,0.413,AxBxE
20,40,20,0.487,AxBxE
20,40,40,0.373,AxBxE
20,40,80,0.549,AxBxE
20,40,100,0.604,AxBxE
20,50,0,0.595,AxBxE
20,50,20,0.547,AxBxE
20,50,40,0.73,AxBxE
20,50,80,0.705,AxBxE
20,50,100,0.776,AxBxE
20,60,0,0.647,AxBxE
20,60,20,0.616,AxBxE
20,60,40,0.792,AxBxE
20,60,80,0.814,AxBxE
20,60,100,0.904,AxBxE
20,100,0,0.801,AxBxE
20,100,20,0.847,AxBxE
20,100,40,0.862,AxBxE
20,100,80,0.999,AxBxE
20,100,100,1,AxBxE
40,20,0,0.157,AxBxE
40,20,20,0.161,AxBxE
40,20,40,0.186,AxBxE
40,20,80,0.213,AxBxE
40,20,100,0.258,AxBxE
40,40,0,0.431,AxBxE
40,40,20,0.376,AxBxE
40,40,40,0.543,AxBxE
40,40,80,0.618,AxBxE
40,40,100,0.794,AxBxE
40,50,0,0.587,AxBxE
40,50,20,0.66,AxBxE
40,50,40,0.617,AxBxE
40,50,80,0.676,AxBxE
40,50,100,0.763,AxBxE
40,60,0,0.681,AxBxE
40,60,20,0.671,AxBxE
40,60,40,0.743,AxBxE
40,60,80,0.8,AxBxE
40,60,100,0.872,AxBxE
40,100,0,0.87,AxBxE
40,100,20,0.918,AxBxE
40,100,40,0.909,AxBxE
40,100,80,0.999,AxBxE
40,100,100,0.999,AxBxE
100,20,0,0.427,AxBxE
100,20,20,0.367,AxBxE
100,20,40,0.452,AxBxE
100,20,80,0.414,AxBxE
100,20,100,0.528,AxBxE
100,40,0,0.743,AxBxE
100,40,20,0.781,AxBxE
100,40,40,0.767,AxBxE
100,40,80,0.795,AxBxE
100,40,100,0.844,AxBxE
100,50,0,0.842,AxBxE
100,50,20,0.805,AxBxE
100,50,40,0.869,AxBxE
100,50,80,0.865,AxBxE
100,50,100,0.936,AxBxE
100,60,0,0.89,AxBxE
100,60,20,0.906,AxBxE
100,60,40,0.889,AxBxE
100,60,80,0.935,AxBxE
100,60,100,1,AxBxE
100,100,0,0.999,AxBxE
100,100,20,0.999,AxBxE
100,100,40,0.999,AxBxE
100,100,80,0.999,AxBxE
100,100,100,1,AxBxE
60,20,0,0.19,AxBxE
60,20,20,0.182,AxBxE
60,20,40,0.207,AxBxE
60,20,80,0.257,AxBxE
60,20,100,0.26,AxBxE
60,40,0,0.461,AxBxE
60,40,20,0.573,AxBxE
60,40,40,0.545,AxBxE
60,40,80,0.61,AxBxE
60,40,100,0.61,AxBxE
60,50,0,0.674,AxBxE
60,50,20,0.639,AxBxE
60,50,40,0.643,AxBxE
60,50,80,0.745,AxBxE
60,50,100,0.825,AxBxE
60,60,0,0.784,AxBxE
60,60,20,0.71,AxBxE
60,60,40,0.774,AxBxE
60,60,80,0.901,AxBxE
60,60,100,0.902,AxBxE
60,100,0,0.878,AxBxE
60,100,20,0.898,AxBxE
60,100,40,0.953,AxBxE
60,100,80,0.901,AxBxE
60,100,100,1,AxBxE
0,30,0,0.221,AxBxE
0,30,20,0.216,AxBxE
0,30,40,0.234,AxBxE
0,30,80,0.309,AxBxE
0,30,100,0.348,AxBxE
20,30,0,0.22,AxBxE
20,30,20,0.257,AxBxE
20,30,40,0.302,AxBxE
20,30,80,0.329,AxBxE
20,30,100,0.402,AxBxE
40,30,0,0.264,AxBxE
40,30,20,0.258,AxBxE
40,30,40,0.316,AxBxE
40,30,80,0.332,AxBxE
40,30,100,0.424,AxBxE
60,30,0,0.392,AxBxE
60,30,20,0.352,AxBxE
60,30,40,0.379,AxBxE
60,30,80,0.387,AxBxE
60,30,100,0.458,AxBxE
100,30,0,0.576,AxBxE
100,30,20,0.564,AxBxE
100,30,40,0.602,AxBxE
100,30,80,0.653,AxBxE
100,30,100,0.651,AxBxE
